stratum,rn,row_id,hospital_slug,code,code_type,descr,setting,billing_class,price_type,amount,peer_median,peer_hosp,z,item_gross,item_cash,item_min,item_max,r1,r2,r3,r4,r5,ifl,label
IF_only,11,517931eca238eeb7ac5911894fd1bec2,sanford-usd,C1776,HCPCS,HIP STEM SECFIT ADV 127D SZ7,outpatient,facility,negotiated,1.0,707.54,9,-4.1,9200.0,7360.0,1.0,8280.0,False,False,False,False,False,True,E
IF_only,12,6251a53f99a73cf1e55fc6992e943e63,sanford-usd,C1876,HCPCS,STNT VENOVO 10FR 16X100MM120CM,outpatient,facility,negotiated,1.0,480.69,10,-4.0,12600.0,10080.0,1.0,11340.0,False,False,False,False,False,True,E
IF_only,13,c41c02a890d45bc4d62efc5ac0ff761e,sanford-usd,C1776,HCPCS,WRIST CARPAL ARTICU CMPNT SM,outpatient,facility,negotiated,1.0,707.54,9,-4.1,14272.0,11417.6,1.0,12844.8,False,False,False,False,False,True,E
IF_only,14,80cd417420042a1f0da3d5a9da8a04fa,sanford-usd,C1776,HCPCS,HIP STEM REV RECLAIM STD HO 18,outpatient,facility,negotiated,1.0,707.54,9,-4.1,34589.0,27671.2,1.0,31130.1,False,False,False,False,False,True,E
IF_only,15,86a0b441d7017db690eebc7d391e8ca2,sanford-usd,C1776,HCPCS,SHLDR GLENO RVRS PRIM 29X25 +3,outpatient,facility,negotiated,1.0,707.54,9,-4.1,19034.0,15227.2,1.0,17130.6,False,False,False,False,False,True,E
IF_only,16,fe51a6ab45d1883e783c80b7f6aa13a9,sanford-usd,C1876,HCPCS,STNT LVIS EVO 2.5X12MM,outpatient,facility,negotiated,1.0,480.69,10,-4.0,19875.0,15900.0,1.0,17887.5,False,False,False,False,False,True,E
IF_only,17,4edfabe2d2ac816068aed0e709431578,sanford-usd,C1776,HCPCS,KNEE LWDG DIST PSTR 15X10MMSZ4,outpatient,facility,negotiated,1.0,707.54,9,-4.1,13489.0,10791.2,1.0,12140.1,False,False,False,False,False,True,E
IF_only,18,dd7ad59cd76bfe430b127a6389f10ca8,ucsf,C1813,HCPCS,Hc Inflatable Penile Prosthesis,both,facility,cash,1650.94,15794.15,7,-4.0,53790.98,16137.29,,,False,False,False,False,False,True,R
IF_only,19,12069e1fb88836a6404776b33804c580,sanford-usd,C1776,HCPCS,SHLDR GLENO TPR 24MM 39,outpatient,facility,negotiated,1.0,707.54,9,-4.1,9200.0,7360.0,1.0,8280.0,False,False,False,False,False,True,E
IF_only,20,1e28da32093da186f85d0d3e078c4eb3,sanford-usd,C1776,HCPCS,SHLDR GLENO PLATE RT 8D,outpatient,facility,negotiated,1.0,707.54,9,-4.1,12640.0,10112.0,1.0,11376.0,False,False,False,False,False,True,E
R1,1,7c6d2a179b93ddf49caf40efcff93d6c,unitypoint-iowa-methodist,A9270,HCPCS,CANNABIDIOL 100 MG/ML PO SOLN,outpatient,facility,cash,32.2,1.24,8,5.3,52.515,42.015,10.715,25.729999999999997,True,False,False,False,False,False,R
R1,2,e2573bc344b3d809f0ee2ca550e3852d,mercyone-north-iowa,J0744,HCPCS,CIPROFLOXACIN 400 MG/200 ML IN 5 % DEXTROSE INTRAVENOUS PIGGYBACK,both,facility,negotiated,9.47,44.94,5,-8.8,37.0,37.0,4.64,37.0,True,False,False,False,False,False,R
R1,3,7ae673eb62f0218a2fb03ed1d33be5ce,stanford,G2211,HCPCS,Complex E/M Visit Add On,both,professional,negotiated,52.56,14.81,9,8.9,86.0,43.0,39.89,69.57,True,False,False,False,False,False,R
R1,4,a6c397413b02cdf3036e1e8438d86a29,atrium-cmc,77338,CPT,HC MLC IMRT DESIGN & CONSTRUCTION PER IMRT PLAN,outpatient,facility,negotiated,6038.96,390.16,15,14.8,9290.7,4645.35,318.91,8361.63,True,False,False,False,False,False,R
R1,5,bbe95074882df65983c593d61a9691f2,mercyone-north-iowa,76812,CPT,PR US Pregnant Uterus Detailed Fetal Exam Each Additional Gestation|PR,both,professional,negotiated,148.8,83.5,6,5.8,183.0,183.0,53.46,183.0,True,False,False,False,False,False,R
R1,6,b48ad15d58b8684f6fb4e96c02d9debf,uihc,45825,CPT,PR CLOSE REC-URETHR FISTULA; COLOSTOMY,both,professional,negotiated,0.88,2973.9,6,-10.3,1.0,0.7,0.25,6212.37,True,False,False,False,False,False,E
R1,7,d30abb04d868510453d324210d0be3e4,unitypoint-iowa-methodist,76821,CPT,CHG US DOPPLER FETAL MID CEREBRAL ARTERY (TC),both,professional,negotiated,130.01,36.01,6,6.2,162.0,129.6,48.29,152.79,True,False,False,False,False,False,R
R1,8,6ca5ba1679d98f59453d968424cd8fb7,sanford-usd,V2632,HCPCS,IOL ACRYSOF SGL 0D 33.0,inpatient,facility,negotiated,1025.1,91.45,7,5.4,1139.0,911.2,626.45,1025.1,True,False,False,False,False,False,R
R1,9,c622bb983808ae4bd3137adc9b0dda3e,atrium-cmc,C1884,HCPCS,SYSTEM EMBOLIC PROTECTION L320 CM CAROTID OD5 MM RADIOPAQUE FILTER CAP,inpatient,facility,cash,450.0,4302.4,5,-5.2,900.0,450.0,272.7,810.0,True,False,False,False,False,False,R
R1,10,73eedeab7417ecf3da5f288b7502dd2d,mercyone-des-moines,64718,CPT,PR Neuroplasty and/or Transposition Ulnar Nerve at Elbow,outpatient,facility,negotiated,3490.14,1995.02,16,5.6,,21012.74,0.96,6632.15,True,False,False,False,False,False,R
R1,11,31e785777401a30580277638c932c391,banner-umc-phoenix,A9563,HCPCS,RRX NA PHOS 32 THR/MCI,outpatient,facility,negotiated,1505.52,188.08,9,14.1,2788.0,1134.72,179.12,2347.35,True,False,False,False,False,False,R
R1,12,cb19c4137c2b4c9a0be0a197bf44f5cf,uihc,84377,HCPCS,"HB MAPS SUGARS MULTIPLE, PLASMA",outpatient,facility,negotiated,57.8,6.05,12,6.3,68.0,47.6,5.23,62.56,True,False,False,False,False,False,R
R1,13,7a80aa1dfb31e2418aca0f06842ef706,uihc,61700,CPT,"PR ANEURYSM, INTRACRAN, SIMPLE SURG",both,professional,negotiated,0.63,6656.9,6,-8.0,1.0,0.7,0.25,76797.38,True,False,False,False,False,False,E
R1,14,c4702ec1853fee4d9c2b40d085c94e1b,uihc,43244,CPT,PR EDG BAND LIGATION ESOPHGEAL/GASTRIC VARICES,both,professional,negotiated,0.88,545.9,7,-5.0,1.0,0.7,0.25,6372.54,True,False,False,False,False,False,E
R1,15,702bc81ee23fe9e1f99b6d783940c8e3,uihc,24000,CPT,PR EXPLORE/DRAIN ELBOW FOR INFECT,both,professional,negotiated,0.85,951.7,6,-6.5,1.0,0.7,0.25,12006.05,True,False,False,False,False,False,E
R1,16,054445aa07cd806c5fe286a2b5a77d67,mercyone-north-iowa,11404,CPT,PR Excision Benign Lesion Trunk/Arms/Legs 3.1 - 4.0 Cm,both,professional,negotiated,540.0,67.96,10,7.4,540.0,540.0,47.05,540.0,True,False,False,False,False,False,R
R1,17,8763e77296520ff62cb27e09fc51c99a,sanford-usd,24515,CPT,OPTX HUMRL SHFT FX PLATE/SCR,outpatient,facility,negotiated,24248.43,13116.76,13,6.1,,,889.44,24830.25,True,False,False,False,False,False,R
R1,18,df5af108e44636d4d3d3863f29ffdd06,sanford-usd,V2632,HCPCS,IOL SENSAR 13.0MM 6.0,inpatient,facility,negotiated,880.2,91.45,7,5.1,978.0,782.4,537.9,880.2,True,False,False,False,False,False,R
R1,19,5552ad910ecd408f1a37f7f09788d83e,atrium-cmc,J1561,HCPCS,IMMUNE GLOB G 20 GRAM/200 ML(10%)-GLY-IGA AVE 46 MCG/ML INJECTION SOLN,outpatient,facility,negotiated,3096.44,70.62,13,5.6,6228.05,3114.025,44.92,5605.245,True,False,False,False,False,False,R
R1,20,881ffd7e2e804d1d07d71021e18bcf70,mercyone-des-moines,96361,CPT,HC Hydration IV Infusion Each Additional Hour,outpatient,facility,negotiated,1608.25,60.64,16,5.5,,8281.68,9.09,3056.08,True,False,False,False,False,False,E
R2,1,7acda626730c80816a58f439cf747f57,uihc,31640,CPT,PR BRONCHOSCOPY W/EXCISION TUMOR,both,professional,negotiated,5732.49,558.33,7,1.8,1148.0,803.6,205.61,5732.49,False,True,False,False,False,False,R
R2,2,9a484c9bd71bc43c1b087fe70ef07c76,unitypoint-finley,88333,CPT,"HC INTRAOP CYTO PATH CONSULT, 1",outpatient,facility,negotiated,1786.45,853.65,14,0.5,121.42,97.14,44.68,1887.23,False,True,False,False,False,False,E
R2,3,109e2658a2a0db126ddb14932ab6c053,uihc,11643,CPT,"PR EXC SKIN MALIG 2.1-3 CM FACE,FACIAL",both,professional,negotiated,178.97,494.31,7,-0.8,1.0,0.7,0.25,4125.73,False,True,False,False,False,False,E
R2,4,ddcc1002bd22c87ba067580edf82c499,uihc,27335,CPT,"PR REMV SYNOVIUM KNEE,ANTER & POST",both,professional,negotiated,1773.5,1507.5,6,0.2,1.0,0.7,0.25,21238.9,False,True,False,False,False,False,E
R2,5,1e580f46a0d6aa7012733d884553a862,uihc,36558,CPT,PR INSERT TUNNELED CV CATH W/O PORT OR PUMP,both,professional,negotiated,1542.67,640.46,8,0.6,1.0,0.7,0.25,8278.48,False,True,False,False,False,False,E
R2,6,b8f7c4e7226b4308c9ccf3f459d7c590,msk,40500,CPT,HC Vermilionectomy,outpatient,facility,negotiated,4925.0,3340.36,11,0.5,1733.0,1733.0,642.0,9784.0,False,True,False,False,False,False,R
R2,7,76b0f8d6b7754f179afa8117efe4fd60,banner-umc-phoenix,60699,CPT,ABL CRYO TUMOR/S ADRENAL CT GD,outpatient,facility,negotiated,8394.81,6176.47,14,0.7,7088.0,2537.5,949.44,10260.33,False,True,False,False,False,False,R
R2,8,8b6d9ae99601f7254cf87b9b0c1fe60f,uihc,93456,CPT,PR CATH PLMT R HRT & ARTS W/NJX & ANGIO IMG S&I,both,professional,negotiated,6227.56,996.85,6,2.0,1380.0,966.0,345.0,10287.25,False,True,False,False,False,False,R
R2,9,b29a788a29d71c8f9f8d232800889b20,banner-umc-phoenix,87497,CPT,LAB DET IA CMV QN,outpatient,facility,negotiated,196.31,116.92,13,0.4,129.0,28.51,42.84,196.31,False,True,False,False,False,False,R
R2,10,2168ac574a420857a3a1adbc56c87c33,mercyone-des-moines,J1200,HCPCS,PR Diphenhydramine Hcl Injection Up to 50 Mg,both,professional,negotiated,5.4,0.7,6,4.1,2.95,5.4,0.5,5.4,False,True,False,False,False,False,R
R2,11,ac05c1e30d5f1c4a1dbd0ca3bbf5966c,uihc,53600,CPT,"PR DIL URETHRA STRIC,MALE,INITIAL",both,professional,negotiated,166.94,124.89,6,0.3,1.0,0.7,0.25,1279.04,False,True,False,False,False,False,E
R2,12,2dace20ea6cf65ba2416a2c00b6b01b9,uihc,27339,CPT,PR EXC TUMOR SOFT TISSUE THIGH/KNEE SUBFASC 5+CM,both,professional,negotiated,6214.13,1461.95,8,1.7,1.0,0.7,0.25,6214.13,False,True,False,False,False,True,E
R2,13,da300c44f58238a045425b64efddf689,uihc,27690,CPT,PR XFER SINGLE SUPERFICI LOW LEG TENDON,both,professional,negotiated,1656.14,1227.6,7,0.3,1.0,0.7,0.25,18714.58,False,True,False,False,False,False,E
R2,14,cacb67bfff5c9e687a1b38a980d67aff,uihc,57283,CPT,"PR REVAGINAL PROLAPSE,UTEROSACRAL",both,professional,negotiated,1613.2,1327.7,6,0.2,1.0,0.7,0.25,12335.63,False,True,False,False,False,False,E
R2,15,1725cc1b844afb4501e4430f078cd04b,uihc,46751,CPT,"PR REPAIR OF ANAL SPHINCTER,CHILD",both,professional,negotiated,1808.8,1309.8,6,0.3,1.0,0.7,0.25,2623.34,False,True,False,False,False,False,E
R2,16,521ad38ee6e9f4afb5b31f665e415b4d,uihc,37200,CPT,PR TRANSCATHETER BIOPSY,both,professional,negotiated,1035.92,475.98,7,0.6,563.5,394.4500000000001,86.93,3776.14,False,True,False,False,False,False,R
R2,17,7f4f190dac8d92b69b05403c0e73be13,unitypoint-allen,64449,CPT,PR INJECTION AA&/STRD LUMBAR PLEXUS CONT NFS CATH,both,professional,negotiated,225.16,125.1,6,0.5,198.0,158.4,58.8,225.16,False,True,False,False,False,False,R
R2,18,0a8676f4f211ef3dfd22bc708ca66934,uihc,13100,CPT,PR RECMPL WND TRUNK 1.1-2.5 CM,both,professional,negotiated,987.3,392.67,6,0.8,1.0,0.7,0.25,3867.7,False,True,False,False,False,False,E
R2,19,6783e47ef4ec864f7f42e602e4c57e52,banner-umc-phoenix,64495,CPT,INJ/S JT FCT L/S IMG 3+ LVL LT,outpatient,facility,negotiated,4680.0,841.5,13,1.7,1481.0,530.2,176.09,5506.0,False,True,False,False,False,False,R
R2,20,2b4dbe93fca5dafa96c09ae8c9bfd296,sanford-usd,L3670,HCPCS,IMMOB SHLDR BICR*DISC 6282704*,outpatient,facility,negotiated,128.4,93.55,11,0.3,24.0,19.2,8.04,156.75,False,True,False,False,False,False,E
R3,1,7e6fdd68228c7cdf504b3592e6c17117,unitypoint-finley,93740,CPT,TEMPERATURE GRADIENT STUDIES,both,professional,negotiated,2.82,15.34,5,-1.7,,,7.345,10.4,False,False,True,False,False,False,R
R3,2,2653919513969d36150237e2cf2a1342,md-anderson,J9041,HCPCS,BORTEZOMIB 3.5 MG INJECTION POWDER FOR SOLUTION [123070],both,facility,negotiated,786.24,105.23,5,3.3,216.55,,1.59,186.233,False,True,True,False,False,False,R
R3,3,63e934fa2bd73c1d9dec63c4b6457ea8,atrium-cmc,Q9967,HCPCS,IOHEXOL 350 MG IODINE/ML INTRAVENOUS SOLUTION,inpatient,facility,negotiated,5.18,73.07,7,-2.4,64.5,32.25,19.54,58.05,False,False,True,False,False,False,R
R3,4,261857bf88a756477e33ba38637fc1c2,gundersen-lutheran,D4273,HCPCS,Auto tissue graft 1st tooth,outpatient,facility,negotiated,3764.37,1643.97,5,1.3,,,539.87,2704.17,False,False,True,False,False,False,R
R3,5,f9e2d0c00eb8b8207fb7a3898ebceb93,atrium-cmc,J3490,HCPCS,KETAMINE 10 MG/ML INJECTION SOLUTION,inpatient,facility,negotiated,69.58,52.13,7,0.2,55.75,27.875,16.895,50.175,False,True,True,False,False,False,R
R3,6,11953a1e4bbdca990f10235af6f408df,gundersen-lutheran,J1453,HCPCS,FOSAPREPITANT 150 MG IV SOLR,outpatient,facility,negotiated,0.14,77.8,11,-5.0,172.9,69.16,57.75,47.18,False,False,True,False,False,True,E
R3,7,e907b1ad476b8fa70f4cb40a75101296,md-anderson,Q0162,HCPCS,ONDANSETRON HCL 8 MG TABLET [10779],both,facility,negotiated,3.91,2.09,5,0.8,2.95,,0.01,2.537,False,True,True,False,False,False,R
R3,8,17ef3301c04d62b53cff158d7cf108a2,md-anderson,J7507,HCPCS,"TACROLIMUS 1 MG CAPSULE, IMMEDIATE-RELEASE [12933]",both,facility,negotiated,26.751,4.32,5,1.4,5.5,,0.15,4.73,False,True,True,False,False,False,U
R3,9,67e4c2ada4254a02c24ab192a3ad13c5,atrium-cmc,J2300,HCPCS,NALBUPHINE 10 MG/ML INJECTION SOLUTION,inpatient,facility,negotiated,83.71,46.07,7,0.4,30.55,15.28,9.26,27.5,False,True,True,False,False,False,R
R3,10,8a3704689589303b631261fd8838068b,md-anderson,J2543,HCPCS,PIPERACILLIN-TAZOBACTAM 3.375 GRAM INTRAVENOUS SOLUTION (MBP INGREDIEN,both,facility,negotiated,29.84,18.04,5,0.9,22.35,,1.11,19.221,False,True,True,False,False,False,R
R3,11,31963fe23dab6c143f891c344838ccbf,md-anderson,J0282,HCPCS,AMIODARONE 50 MG/ML INTRAVENOUS SOLUTION [93084],both,facility,negotiated,14.63,10.55,5,0.4,14.25,,0.51,12.255,False,False,True,False,False,False,R
R3,12,1e34c30709148ac39b31794e15793f5f,atrium-cmc,77470,CPT,SPECIAL RADIATION TREATMENT,both,professional,negotiated,43.6,168.15,7,-1.7,,,85.19,126.16,False,False,True,False,False,False,R
R3,13,dd4bde7cb6c71026baa946b923d0566c,gundersen-lutheran,0465U,HCPCS,ONC URTHL CARC DNA QMSP 2GEN,outpatient,facility,negotiated,1938.01,2020.32,10,-0.4,,,14961.44,15697.884999999998,False,False,True,False,False,False,R
R3,14,5bbe8ba593cd3e985c27c8b55684ea4a,md-anderson,J9370,HCPCS,VINCRISTINE 2 MG/2 ML INTRAVENOUS SOLUTION [128821],both,facility,negotiated,77.5125,29.76,5,1.2,65.05,,7.86,55.943,False,True,True,False,False,False,R
R3,15,3cfca08f87fb48eabf1d33647d1439d9,gundersen-lutheran,J7507,HCPCS,TACROLIMUS 0.5 MG PO CAP,both,facility,negotiated,5.04,4.32,5,0.1,5.3,2.12,0.985,3.79,False,False,True,False,False,False,R
R3,16,40b730c6e282e21d4fd6fcbb72b3dba8,unitypoint-iowa-methodist,A9270,HCPCS,CEFDINIR 250 MG/5ML PO SUSR,outpatient,facility,negotiated,9.33,0.74,9,2.7,16.58,13.265,3.385,8.125,False,False,True,False,False,False,R
R3,17,0b735eddb4bd02cdcc9b56713bd5c9af,uihc,J2690,HCPCS,PROCAINAMIDE 100 MG/ML IJ SOLN,inpatient,facility,negotiated,1932.0,310.5,6,1.3,1434.41,1004.09,358.6,1319.66,False,True,True,False,False,False,R
R3,18,85461f873da631468e9a839065b015f5,atrium-cmc,J3490,HCPCS,VERAPAMIL 2.5 MG/ML INTRAVENOUS SOLUTION,inpatient,facility,negotiated,47.92,52.13,7,-0.1,33.3,16.65,10.09,29.97,False,True,True,False,False,False,R
R3,19,8c1469b6c67856b4a345706909a95e66,gundersen-lutheran,64795,HCPCS,HCHG 64795 BIOPSY OF NERVE,outpatient,facility,negotiated,7506.0,2667.45,11,1.9,3295.0,1318.0,613.69,3928.48,False,True,True,False,False,False,R
R3,20,43058f34f1c042c642bf10ded8f80a04,unitypoint-iowa-methodist,J2543,HCPCS,PIPERACILLIN SOD-TAZOBACTAM SO 4.5 (4-0.5) G IV SO,outpatient,facility,negotiated,0.26,22.54,11,-4.3,25.13,20.11,1.12,12.31,False,False,True,False,False,False,E
R4,1,e4738d0df3cdb0c5d373dd9474cac8ff,uchicago,C1713,HCPCS,Noncdm Charge Record Medical Supplies,both,facility,cash,1126.65,2179.05,7,-0.6,1013.98,1013.98,,,False,False,False,True,False,False,R
R4,2,208cbeeed12c38ac5cfe46de9bfc8a9e,ucsf,C1874,HCPCS,"Hc Stent, Coated/Cov W/Del Sys",both,facility,cash,27846.21,4007.25,7,1.5,12995.0,3898.5,,,False,False,False,True,False,False,R
R4,3,a632f51589b052a1abda65b63c38c491,unitypoint-iowa-methodist,J7512,HCPCS,PREDNISONE 20 MG PO TABS,outpatient,facility,cash,0.04,0.32,6,-0.7,0.03,0.03,0.01,0.02,False,False,False,True,False,False,R
R4,4,613da4705232fd615956a47d45210df5,unitypoint-allen,A9270,HCPCS,AMITRIPTYLINE HCL 10 MG PO TABS,outpatient,facility,cash,1.2,1.24,8,-0.1,1.04,0.835,0.39,0.675,False,False,False,True,False,False,R
R4,5,9006546a7bf4b0f786aa1d50be111f8b,uihc,J9395,HCPCS,FULVESTRANT 250 MG/5 ML IM SYRG,inpatient,facility,cash,2375.34,329.4,6,3.5,2062.295,1443.605,515.575,1897.31,False,False,False,True,False,False,R
R4,6,95cc9311d3df903b2e8b28acb7dafa8c,uchicago,C1887,HCPCS,Noncdm Charge Record Medical Supplies,both,facility,cash,6108.48,333.45,7,3.7,605.5550000000001,605.5550000000001,,,False,False,False,True,False,True,U
R4,7,33cf98370a555514f749d6b36aafe641,atrium-cmc,J3490,HCPCS,LACTULOSE 10 GRAM/15 ML ORAL SOLUTION,outpatient,facility,cash,82.33,44.7,8,0.4,9.0,4.5,1.96,8.1,False,False,False,True,False,False,U
R4,8,40badbb49a6741336f700c5f5cc05dec,uchicago,C1887,HCPCS,Noncdm Charge Record Medical Supplies,both,facility,cash,3301.2,333.45,7,2.9,605.5550000000001,605.5550000000001,,,False,False,False,True,False,False,U
R4,9,29f210228339a36f6e48c216619da3e2,uchicago,C1889,HCPCS,Noncdm Charge Record Medical Supplies,both,facility,cash,19630.8,6093.75,7,1.3,11231.895,11231.895,,,False,False,False,True,False,False,R
R4,10,0dcb14c022f75929f6613ca83c9e5c84,providence-alaska,82525,HCPCS,HC ASSAY OF COPPER CDM,both,facility,cash,76.44,22.5,7,0.7,62.5,48.75,,,False,False,False,True,False,False,R
R4,11,436435b7c706aa717eea37a44d580ade,unitypoint-iowa-methodist,J3101,HCPCS,TENECTEPLASE 50 MG IV KIT,inpatient,facility,cash,268.32,238.12,7,0.1,165.95,132.76,71.86,71.86,False,False,False,True,False,False,R
R4,12,5ce6da1b7f4773e0dd7e37055be1e80b,providence-alaska,C1713,HCPCS,SCREW CORT N-LOK 3.5X18MM,both,facility,cash,1035.59,2179.05,7,-0.6,691.5,539.37,,,False,False,False,True,False,False,R
R4,13,74864c217b65923b4a7d16572ef5d54f,providence-alaska,C1776,HCPCS,IMP KNEE TIB INS SCORP SZ3 18,both,facility,cash,7254.0,4368.0,7,0.8,4800.0,3744.0,,,False,False,False,True,False,False,R
R4,14,63d90bb5ea06cd6b2523933205f27259,stanford,J9171,HCPCS,DOCETAXEL 80 MG/4 ML (20 MG/ML) IV SOLN,both,facility,cash,2098.44,227.02,8,0.8,1107.11,442.84,,,False,False,False,True,False,False,R
R4,15,915bba8317bcba755c917562002c5f52,unitypoint-iowa-methodist,J2598,HCPCS,VASOPRESSIN 20 UNIT/ML IV SOLN,outpatient,facility,cash,9.99,8.34,8,0.1,5.36,4.29,0.99,2.95,False,False,False,True,False,False,R
R4,16,919d030e0a8220089b61f10c11dbf72f,uchicago,C1757,HCPCS,Noncdm Charge Record Medical Supplies,both,facility,cash,10054.8,2753.78,7,0.7,8996.400000000001,8996.400000000001,,,False,False,False,True,False,False,R
R4,17,b7bdc71ea658f1e28d7148852298b1f2,ucsf,C1713,HCPCS,"Hc Anchor/Screw Bn/Bn,Tis/Bn",both,facility,cash,4212.0,2179.05,7,0.6,1696.5,508.95,,,False,False,False,True,False,False,R
R4,18,a381300a5cd184e996a1384f0b86d76f,uchicago,C1776,HCPCS,Noncdm Charge Record Medical Supplies,both,facility,cash,12832.16,4368.0,7,1.7,8730.76,8730.76,,,False,False,False,True,False,False,R
R4,19,a61944b587072f04c3924e97b0c124af,ucsf,C1713,HCPCS,"Hc Anchor/Screw Bn/Bn,Tis/Bn",both,facility,cash,2069.39,2179.05,7,-0.0,1696.5,508.95,,,False,False,False,True,False,False,R
R4,20,91a348c0226ac0364aac33977d83d23f,atrium-cmc,J2250,HCPCS,MIDAZOLAM 5 MG/ML INJECTION SOLUTION,outpatient,facility,cash,97.1,22.14,11,1.3,51.75,25.88,0.16,46.58,False,False,False,True,False,False,R
R5,1,541d8b7ec807341bd2521a62b3b51fab,unitypoint-finley,Q0480,HCPCS,"Driver pneumatic vad, rep",outpatient,facility,negotiated,99999.94,113602.65,10,-1.3,,,99999.94,296999.85,False,False,False,False,True,False,R
R5,2,09611e0b23870f0ac68cd74f3838e5f1,unitypoint-finley,Q0480,HCPCS,"Driver pneumatic vad, rep",outpatient,facility,negotiated,99999.94,113602.65,10,-1.3,,,99999.94,296999.85,False,False,False,False,True,False,R
R5,3,73063be6d2d1c1a635dd2f5b15c17ee4,sanford-usd,Q0480,HCPCS,"Driver pneumatic vad, rep",outpatient,facility,negotiated,99999.93,113602.65,10,-1.3,,,94999.95,125739.91,False,False,False,False,True,False,R
